Sample ID,Donor ID,Species,Species NCBI Taxonomy ID,Genotype,Modality,Technique,Anatomical Structure,Subspecimen Type,Total Processed Subspecimens,Organization,Investigator,Grant Number,Project,R24 Name (CV),R24 link,Comments,Metadata Submission,Age,Sex,QC,Download Link,Visualization Link,Soma_X(CCFv3_1𝜇𝑚),Soma_Y(CCFv3_1𝜇𝑚),Soma_Z(CCFv3_1𝜇𝑚)
982728140,496252,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,60 Days,Male,Automated Neuron Morphology ,,,9128.955848,1641.606925,2629.323328
982745652,496254,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,60 Days,Female,Automated Neuron Morphology ,,,9149.071446,1193.122013,3515.077007
990258379,498597,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISpm5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,55 Days,Male,Automated Neuron Morphology ,,,8863.770295,798.3338644,7111.535942
990271469,498597,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,55 Days,Male,Automated Neuron Morphology ,,,8822.694149,932.6878843,7518.320445
990213121,498597,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,55 Days,Male,Manual Neuron Morphology ,,,8933.382518,1097.249814,3484.408111
990229295,498597,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,55 Days,Male,Manual Neuron Morphology ,,,8984.878471,928.8141415,3809.736166
990236615,498597,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,55 Days,Male,Manual Neuron Morphology ,,,9013.38031,835.5888265,4089.813103
990238702,498597,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISpm5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,55 Days,Male,Automated Neuron Morphology ,,,8748.391855,809.3842449,4142.263371
991975097,499543,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9189.37408,1502.86314,2814.132161
991980391,499543,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9260.422239,1270.475083,3270.891039
992009934,499544,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9168.115779,1209.331267,3461.756175
992021164,499544,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Manual Neuron Morphology ,,,9005.119135,1742.469268,2457.947002
